proveedor,archivo,rut_empresa,numero_cuenta,numero_boleta,fecha_emision,periodo_facturado,consumo_total_m3,iva,total_a_pagar,vencimiento,estado,monto_periodo,consumo_total,fecha_vencimiento
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202412.pdf,61.808.000-5,2392497-8,275495801,02-DIC-2024,02-12-2024,1247.19,13.0,15.0,21-DIC-2024,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202501.pdf,61.808.000-5,2392497-8,277479277,02-ENE-2025,02-01-2025,852.96,892966.0,10.0,22-ENE-2025,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202502.pdf,61.808.000-5,2392497-8,279467971,02-FEB-2025,01-02-2025,977.03,10.0,12.0,20-FEB-2025,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202503.pdf,61.808.000-5,2392497-8,281402574,03-MAR-2025,03-03-2025,781.58,818300.0,973777.0,21-MAR-2025,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202504.pdf,61.808.000-5,2392497-8,283385253,02-ABR-2025,02-04-2025,1149.66,12.0,14.0,22-ABR-2025,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202505.pdf,61.808.000-5,2392497-8,285459740,02-MAY-2025,02-05-2025,937.38,981271.0,11.0,22-MAY-2025,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202506.pdf,61.808.000-5,2392497-8,287463122,02-JUN-2025,02-06-2025,1379.21,14.0,17.0,21-JUN-2025,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202507.pdf,61.808.000-5,2392497-8,289466817,02-JUL-2025,02-07-2025,1.152.79,12.0,14.0,22-JUL-2025,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_CALDERA_202508.pdf,61.808.000-5,2392497-8,291449029,02-AGO-2025,02-08-2025,1.366.57,14.0,17.0,21-AGO-2025,OK,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202008.pdf,61.808.000-5,,,,,,,,24-AGO-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202009.pdf,61.808.000-5,,,,,,,,24-SEP-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202010.pdf,61.808.000-5,,,,,,,,26-OCT-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202011.pdf,61.808.000-5,,,,,,,,24-NOV-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202012.pdf,61.808.000-5,,,,,,,,24-DIC-2020,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202101.pdf,61.808.000-5,,,,,,,,25-ENE-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202102.pdf,61.808.000-5,,,,,,,,23-FEB-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202103.pdf,61.808.000-5,,,,,,,,24-MAR-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202104.pdf,61.808.000-5,,,,,,,,26-ABR-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202105.pdf,61.808.000-5,,,,,,,,25-MAY-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202106.pdf,61.808.000-5,,,,,,,,23-JUN-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202107.pdf,61.808.000-5,,,,,,,,26-JUL-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202108.pdf,61.808.000-5,,,,,,,,25-AGO-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202109.pdf,61.808.000-5,,,,,,,,24-SEP-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202110.pdf,61.808.000-5,,,,,,,,25-OCT-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202111.pdf,61.808.000-5,,,,,,,,24-NOV-2021,ERROR: Datos incompletos,,,
Aguas Andinas,ARGOMEDO_AGUAS_ANDINAS_OFICINA_202112.pdf,61.808.000-5,,,,,,,,24-DIC-2021,ERROR: Datos incompletos,,,
