archivo_pdf,empresa,nro_documento,total_a_pagar,id_cliente,fecha_emision,fecha_vencimiento,consumo_periodo,estado
ARGOMEDO_AGUAS_ANDINAS_CALDERA_202508.pdf,Aguas Andinas,,,2392497-8,02-AGO-2025,21-AGO-2025,1366.57 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202008.pdf,Aguas Andinas,,,,,24-AGO-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202009.pdf,Aguas Andinas,,,,,24-SEP-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202010.pdf,Aguas Andinas,,,,,26-OCT-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202011.pdf,Aguas Andinas,,,,,24-NOV-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202012.pdf,Aguas Andinas,,,,,24-DIC-2020,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202101.pdf,Aguas Andinas,,,,,25-ENE-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202102.pdf,Aguas Andinas,,,,,23-FEB-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202103.pdf,Aguas Andinas,,,,,24-MAR-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202104.pdf,Aguas Andinas,,,,,26-ABR-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202105.pdf,Aguas Andinas,,,,,25-MAY-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202106.pdf,Aguas Andinas,,,,,23-JUN-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202107.pdf,Aguas Andinas,,,,,26-JUL-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202108.pdf,Aguas Andinas,,,,,25-AGO-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202109.pdf,Aguas Andinas,,,,,24-SEP-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202110.pdf,Aguas Andinas,,,,,25-OCT-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202111.pdf,Aguas Andinas,,,,,24-NOV-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202112.pdf,Aguas Andinas,,,,,24-DIC-2021,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202201.pdf,Aguas Andinas,,,,,25-ENE-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202202.pdf,Aguas Andinas,,,,,23-FEB-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202203.pdf,Aguas Andinas,,,,,23-MAR-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202204.pdf,Aguas Andinas,,,,,25-ABR-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202205.pdf,Aguas Andinas,,,,,25-MAY-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202206.pdf,Aguas Andinas,,,,,23-JUN-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202207.pdf,Aguas Andinas,,,,,25-JUL-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202208.pdf,Aguas Andinas,,,,,25-AGO-2022,,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202209.pdf,Aguas Andinas,,,2392231-2,03-SEP-2022,26-SEP-2022,34 m3,PARCIAL
ARGOMEDO_AGUAS_ANDINAS_OFICINA_202210.pdf,Aguas Andinas,,,2392231-2,03-OCT-2022,24-OCT-2022,226 m3,PARCIAL
